date,sentiment.comparative,sentiment.negative_count,sentiment.positive_count,sentiment.score,time
"2014-01-21",0.07780082987551867,9,61,75,"10:49:10"
"2014-01-25",0.03885480572597137,1,12,19,"23:39:20"
"2014-01-26",0.03225806451612903,1,4,5,"12:20:46"
"2014-01-26",0,0,0,0,"18:48:14"
"2014-01-28",0.026717557251908396,4,10,14,"16:46:53"
"2014-02-02",0,0,0,0,"22:45:13"
"2014-02-03",-0.0051813471502590676,4,3,-1,"14:04:35"
"2014-02-03",0,0,0,0,"18:22:09"
"2014-02-04",0,0,0,0,"16:29:46"
"2014-02-05",0,0,0,0,"14:06:56"
"2014-02-15",0.022988505747126436,0,1,2,"05:34:11"
"2014-02-15",0.1092436974789916,0,7,13,"20:57:34"
"2014-02-20",0.02564102564102564,0,3,6,"04:00:48"
"2014-02-20",0.1044776119402985,0,4,7,"13:33:58"
"2014-02-24",-0.013333333333333334,1,0,-1,"19:27:49"
"2014-02-27",0.028735632183908046,3,5,5,"01:55:30"
"2014-03-07",0.02247191011235955,0,1,2,"18:08:37"
"2014-03-07",0.04,0,2,2,"19:09:22"
"2014-03-20",0.015779092702169626,7,15,8,"15:02:38"
"2014-03-22",0,2,1,0,"15:22:15"
"2014-03-23",0.021052631578947368,1,3,4,"00:02:39"
"2014-03-23",0,0,0,0,"05:26:49"
"2014-03-24",0.009009009009009009,0,1,1,"14:54:25"
"2014-03-26",0.05555555555555555,1,3,3,"05:20:17"
"2014-03-27",0.013745704467353952,3,5,4,"00:07:06"
"2014-04-02",-0.15384615384615385,1,0,-2,"06:40:11"
"2014-04-09",0.043478260869565216,0,1,1,"17:00:11"
"2014-04-10",-0.010344827586206896,26,22,-6,"15:10:22"
"2014-04-12",0,1,1,0,"04:10:11"
"2014-04-13",0.02631578947368421,4,10,11,"15:34:27"
"2014-04-16",-0.030303030303030304,9,10,-7,"03:47:57"
"2014-04-17",0.010443864229765013,15,15,4,"19:54:11"
"2014-04-19",0.06596306068601583,2,14,25,"22:29:14"
"2014-04-20",0.015873015873015872,2,5,2,"01:20:28"
"2014-04-22",0.01529051987767584,57,81,30,"01:37:30"
"2014-04-23",-0.024193548387096774,4,2,-3,"00:49:41"
"2014-04-28",-0.07591623036649214,28,13,-29,"03:56:33"
"2014-05-02",0.0625,9,17,21,"15:16:55"
"2014-05-04",0.14285714285714285,0,1,2,"18:31:14"
"2014-05-08",-0.005952380952380952,29,30,-4,"00:22:59"
"2014-05-10",0,0,0,0,"00:59:42"
"2014-05-12",-0.04365079365079365,30,26,-22,"12:38:50"
"2014-05-13",0,0,0,0,"16:51:41"
"2014-05-13",0.3333333333333333,2,14,32,"23:39:07"
"2014-05-15",0,0,0,0,"01:07:31"
"2014-05-16",0.01694915254237288,10,13,6,"01:02:45"
"2014-05-16",0.03592814371257485,14,33,30,"01:22:09"
"2014-05-17",0,0,0,0,"00:40:07"
"2014-05-18",0.05426356589147287,5,12,7,"17:51:13"
"2014-05-19",0.18226600985221675,2,23,37,"13:59:55"
"2014-05-22",0.010876519513755598,46,60,17,"14:33:37"
"2014-05-22",0.0368,14,21,23,"15:18:19"
"2014-05-22",0.04424778761061947,3,5,5,"15:52:38"
"2014-05-23",0.07801418439716312,4,18,22,"01:27:19"
"2014-05-27",0.09411764705882353,14,61,80,"15:23:43"
"2014-05-28",0.11312217194570136,1,15,25,"16:02:19"
"2014-05-29",0.04048582995951417,6,16,10,"21:40:45"
"2014-06-04",-0.006083650190114068,100,108,-16,"00:22:06"
"2014-06-05",0.07471264367816093,1,16,26,"02:59:28"
"2014-06-21",0.10526315789473684,9,18,22,"22:30:38"
"2014-06-24",0.05448717948717949,15,42,51,"01:28:49"
"2014-06-25",0.06686746987951807,23,96,111,"01:25:39"
"2014-06-25",-0.06369426751592357,8,5,-10,"19:52:47"
"2014-06-25",0.11333333333333333,2,8,17,"21:32:40"
"2014-06-29",0.012738853503184714,44,65,16,"16:39:51"
"2014-06-29",0.08705882352941176,8,29,37,"19:53:49"
"2014-06-29",-0.04054054054054054,58,37,-48,"20:48:42"
"2014-06-29",0.1,28,106,158,"23:16:53"
"2014-06-30",0.02727272727272727,31,63,36,"01:22:52"
"2014-06-30",0.05,0,3,5,"10:48:01"
"2014-07-15",0.08408796895213454,8,44,65,"13:13:24"
"2014-07-20",-0.061224489795918366,2,0,-3,"17:49:24"
"2014-07-22",0.10975609756097561,1,18,36,"10:34:28"
"2014-07-22",0.12727272727272726,0,3,7,"10:35:11"
"2014-07-22",0.03859649122807018,3,7,11,"10:35:30"
"2014-07-22",0.04519774011299435,6,8,8,"10:42:14"
"2014-07-22",0,4,7,0,"10:58:13"
"2014-07-25",0.05587557603686636,23,80,97,"18:51:25"
"2014-07-25",0.04355108877721943,23,54,52,"19:37:39"
"2014-07-27",0.09539121114683816,17,58,89,"23:29:23"
"2014-07-29",0.12154696132596685,7,76,132,"01:02:31"
"2014-07-29",0.08740359897172237,10,33,34,"01:54:26"
"2014-08-02",-0.0196078431372549,3,3,-1,"20:25:59"
"2014-08-03",-0.04,1,0,-1,"17:02:36"
"2014-08-03",0.019359299377736807,131,192,84,"17:04:32"
"2014-08-04",0.04403567447045708,36,71,79,"23:35:45"
"2014-08-06",0.07023809523809524,37,99,118,"01:14:58"
"2014-08-07",0.05091937765205092,19,40,36,"00:47:19"
"2014-08-07",0.09965034965034965,4,29,57,"02:06:42"
"2014-08-08",0.0356489945155393,23,50,39,"02:09:48"
"2014-08-12",0.05029469548133595,47,106,128,"00:51:12"
"2014-08-12",0.03179824561403509,14,33,29,"10:44:43"
"2014-08-12",0.024539877300613498,14,25,16,"22:28:15"
"2014-08-13",0.00837138508371385,33,49,11,"11:29:13"
"2014-08-13",0.058394160583941604,2,8,8,"12:31:47"
"2014-08-13",0.01168871116579514,80,101,38,"12:54:50"
"2014-08-14",0.07222844344904815,29,92,129,"01:52:05"
"2014-08-14",0.035781544256120526,7,19,19,"10:36:52"
"2014-08-15",0.04985994397759104,34,92,89,"01:34:23"
"2014-08-15",0.038461538461538464,18,33,23,"02:16:30"
"2014-08-15",0.03938115330520394,17,36,28,"10:21:39"
"2014-08-16",0.03819444444444445,11,19,11,"01:05:27"
"2014-08-16",0.08163265306122448,2,11,16,"13:43:12"
"2014-08-17",0.03773584905660377,7,17,14,"12:34:35"
"2014-08-17",0.036458333333333336,20,29,21,"23:53:34"
"2014-08-19",0.09388335704125178,7,47,66,"00:14:49"
"2014-08-20",0,0,0,0,"01:15:24"
"2014-08-20",0.06951871657754011,1,10,13,"12:06:17"
"2014-08-21",0.06695156695156695,10,37,47,"18:13:14"
"2014-08-25",0,2,2,0,"12:09:11"
"2014-08-26",0.05288932419196866,26,57,54,"12:56:01"
"2014-08-27",0.0705521472392638,4,17,23,"12:06:13"
"2014-08-27",0.06756756756756757,5,11,15,"12:32:26"
"2014-08-28",0.08169014084507042,4,19,29,"13:14:46"
"2014-08-29",0.08333333333333333,6,17,19,"01:11:57"
"2014-09-03",0.02031488065007618,42,62,40,"08:23:00"
"2014-09-07",0,0,0,0,"14:39:13"
"2014-09-09",0.04597701149425287,1,2,4,"14:04:32"
"2014-09-11",0,4,6,0,"15:08:36"
"2014-09-15",0.01996007984031936,10,15,10,"12:46:13"
"2014-09-21",0.04054054054054054,3,6,9,"01:33:50"
"2014-09-21",-0.006134969325153374,6,7,-1,"12:55:39"
"2014-09-26",-0.021398002853067047,28,14,-15,"01:05:14"
"2014-09-27",0.08761329305135952,28,102,116,"10:58:42"
"2014-09-29",0,0,0,0,"04:17:01"
"2014-09-29",0,0,0,0,"04:17:06"
"2014-09-29",0,0,0,0,"04:17:25"
"2014-09-30",0,0,0,0,"11:41:19"
"2014-10-02",0.17771084337349397,4,36,59,"09:18:28"
"2014-10-06",0.07575757575757576,0,3,5,"00:02:30"
"2014-10-06",0.031578947368421054,7,11,6,"18:31:59"
"2014-10-08",0.048458149779735685,4,11,11,"07:05:35"
"2014-10-08",0.08015267175572519,3,10,21,"19:29:53"
"2014-10-08",0.05699481865284974,6,11,11,"23:17:01"
"2014-10-10",0.1,2,18,33,"15:07:06"
"2014-10-11",0.021645021645021644,36,43,15,"11:36:27"
"2014-10-14",0.06297229219143577,13,45,75,"00:43:45"
"2014-10-14",0,0,0,0,"18:14:13"
"2014-10-14",0,0,0,0,"23:43:41"
"2014-10-17",0,0,0,0,"12:47:39"
"2014-10-27",0.032377428307123035,47,67,35,"21:38:26"
"2014-10-29",0.11510483525887891,46,176,269,"16:43:03"
"2014-10-30",0.05714285714285714,1,3,2,"23:27:12"
"2014-11-02",0.08657587548638132,36,74,89,"18:49:02"
"2014-11-03",0.11910669975186104,2,25,48,"14:45:19"
"2014-11-04",0.050761421319796954,5,11,10,"01:09:49"
"2014-11-04",0.14925373134328357,1,8,20,"14:11:21"
"2014-11-04",0.1267605633802817,0,5,9,"16:40:37"
"2014-11-07",0,0,0,0,"13:00:29"
"2014-11-08",0.032520325203252036,5,6,4,"04:59:42"
"2014-11-08",0,0,0,0,"15:25:42"
"2014-11-08",0.18803418803418803,0,14,22,"18:38:26"
"2014-11-11",0.058333333333333334,1,5,7,"01:09:29"
"2014-11-14",0.11971830985915492,0,19,34,"17:37:11"
"2014-11-14",0,26,29,0,"23:10:36"
"2014-11-15",0.030805687203791468,14,28,26,"02:30:21"
"2014-11-16",-0.0018181818181818182,20,27,-1,"20:17:58"
